id,titulo,producto,ocasion,coleccion,tipo_archivo,imagen,texto_whatsapp
nav-1-1,nav (1),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-1-1.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (1). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-10-2,nav (10),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-10-2.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (10). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-11-3,nav (11),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-11-3.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (11). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-12-4,nav (12),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-12-4.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (12). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-13-5,nav (13),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-13-5.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (13). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-14-6,nav (14),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-14-6.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (14). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-15-7,nav (15),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-15-7.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (15). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-16-8,nav (16),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-16-8.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (16). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-17-9,nav (17),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-17-9.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (17). Tipo: Mugs y tazas. Ocasión: Navidad."
nav-18-10,nav (18),Mugs y tazas,Navidad,Tres tazas Navidad,Diseño,/assets/store/nav-18-10.jpg,"Hola, Creaciones DM. Quiero cotizar este diseño del catálogo: nav (18). Tipo: Mugs y tazas. Ocasión: Navidad."
